name_road;name_ward;type_ward;name_district;type_district;name_province;type_province;;;;
mai chí thọ;Thủ Thiêm;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
mai chí thọ;An Lợi Đông;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
mai chí thọ;Bình Khánh;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
mai chí thọ;An Lợi Đông;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
mai chí thọ;Thủ Thiêm;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
mai chí thọ;Bình Khánh;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
mai chí thọ;Thủ Thiêm;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
mai chí thọ;Bình Khánh;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
mai chí thọ;Thủ Thiêm;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
mai chí thọ;Bình Khánh;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
mai chí thọ;Thủ Thiêm;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
mai chí thọ;An Phú;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
mai chí thọ;Bình Khánh;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
mai chí thọ;An Phú;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
mai chí thọ;Bình Khánh;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
mai chí thọ;An Phú;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
mai chí thọ;Bình Khánh;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
mai chí thọ;An Phú;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
mai chí thọ;Bình Khánh;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
mai chí thọ;An Phú;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
mai chí thọ;Bình Khánh;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
mai chí thọ;An Phú;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
mai lão bạng;Phường 13;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
mai thị lựu;Đa Kao;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
mai văn ngọc;Phường 10;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
mai xuân thưởng;Phường 11;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
mimosa;Thảo Điền;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
miếu bình đông;Bình Hưng Hoà A;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
miếu gò xoài;Bình Hưng Hoà A;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
morison;Tân Phú;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
mã lò;Bình Hưng Hoà A;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
mã lộ;Tân Định;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
mê linh;Phường 19;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
mười chín tháng năm a;Tây Thạnh;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
mạc cửu;Phường 13;Phường;Quận 5;Quận;Hồ Chí Minh;City;;;;
mạc thị bưởi;Bến Nghé;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
mạc vân;Phường 13;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
mạc đĩnh chi;Đa Kao;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
mạc đĩnh chi;Bến Nghé;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
mỳ gia 1;Tân Phú;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
mỹ giang 1a;Tân Phong;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
mỹ giang 1b;Tân Phong;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
mỹ giang 2a;Tân Phong;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
mỹ giang 2b;Tân Phong;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
mỹ kim 3;Tân Phong;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
n1;Tân Phú;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
n10;Long Thạnh Mỹ;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
n6;Tân Phú;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
nam cao;Tân Phú;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
nam kỳ khởi nghĩa;Bến Thành;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nam kỳ khởi nghĩa;Nguyễn Thái Bình;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nam kỳ khởi nghĩa;Bến Thành;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nam kỳ khởi nghĩa;Nguyễn Thái Bình;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nam kỳ khởi nghĩa;Phường 7;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
nam kỳ khởi nghĩa;Phường 8;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
nam kỳ khởi nghĩa;Phường 6;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
nam kỳ khởi nghĩa;Phường 7;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
nam kỳ khởi nghĩa;Phường 6;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
nam kỳ khởi nghĩa;Bến Thành;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nam quốc cang;Phạm Ngũ Lão;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nb1;Tân Hưng Thuận;Phường;Quận 12;Quận;Hồ Chí Minh;City;;;;
nb2;Tân Hưng Thuận;Phường;Quận 12;Quận;Hồ Chí Minh;City;;;;
nb3;Tân Hưng Thuận;Phường;Quận 12;Quận;Hồ Chí Minh;City;;;;
nghiêm toản;Hoà Thạnh;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
nghách ðiện biên phủ;Đa Kao;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nghĩa hưng;Phường 6;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
nghĩa phát;Phường 6;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
nguyen ngoc phuong;Phường 19;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
nguyên hồng;Phường 1;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
nguyên hồng;Phường 11;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
nguyễn tất thành;Phường 12;Phường;Quận 4;Quận;Hồ Chí Minh;City;;;;
nguyễn an;Thạnh Mỹ Lợi;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
nguyễn an khương;Phường 13;Phường;Quận 5;Quận;Hồ Chí Minh;City;;;;
nguyễn an ninh;Phường 14;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
nguyễn an ninh;Bến Thành;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn biểu;Phường 1;Phường;Quận 5;Quận;Hồ Chí Minh;City;;;;
nguyễn bá huân;Thảo Điền;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
nguyễn bá học;Phường 4;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
nguyễn bá lân;Thảo Điền;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
nguyễn bá tuyển;Phường 12;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
nguyễn bá tòng;Phường 11;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
nguyễn bá tòng;Tân Thành;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
nguyễn bình;Phước Lộc;Xã;Nhà Bè;Huyện;Hồ Chí Minh;City;;;;
nguyễn bình;Nhơn Đức;Xã;Nhà Bè;Huyện;Hồ Chí Minh;City;;;;
nguyễn bình;Phú Xuân;Xã;Nhà Bè;Huyện;Hồ Chí Minh;City;;;;
nguyễn bình;Nhơn Đức;Xã;Nhà Bè;Huyện;Hồ Chí Minh;City;;;;
nguyễn bình;Phú Xuân;Xã;Nhà Bè;Huyện;Hồ Chí Minh;City;;;;
nguyễn bính;Tân Phong;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
nguyễn bặc;Phường 3;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
nguyễn bỉnh khiêm;Phường 1;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
nguyễn bỉnh khiêm;Đa Kao;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn bỉnh khiêm;Bến Nghé;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn bỉnh khiêm;Đa Kao;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn bỉnh khiêm;Bến Nghé;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn bỉnh khiêm;Bình Thọ;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
nguyễn cao bắc;Tân Phong;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
nguyễn chánh sắt;Phường 13;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
nguyễn chí thanh;Phường 16;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
nguyễn chích;Phú Thạnh;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
nguyễn công bao;Tam Thôn Hiệp;Xã;Cần Giờ;Huyện;Hồ Chí Minh;City;;;;
nguyễn công hoan;Phường 3;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
nguyễn công hoan;Phường 2;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
nguyễn công hoan;Phường 7;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
nguyễn công hoan;Phường 3;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
nguyễn công hoan;Phường 2;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
nguyễn công hoan;Phường 7;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
nguyễn công hoan;Phường 2;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
nguyễn công trứ;Phường 19;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
nguyễn công trứ;Nguyễn Thái Bình;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn công trứ;Cầu Ông Lãnh;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn công trứ;Bình Thọ;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
nguyễn cơ thạch;An Khánh;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
nguyễn cơ thạch;Thủ Thiêm;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
nguyễn cơ thạch;An Lợi Đông;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
nguyễn cư trinh;Cô Giang;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn cư trinh;Nguyễn Cư Trinh;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn cảnh chân;Nguyễn Cư Trinh;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn cảnh dị;Phường 4;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
nguyễn cừ;Thảo Điền;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
nguyễn cửu phú;Tân Kiên;Xã;Bình Chánh;Huyện;Hồ Chí Minh;City;;;;
nguyễn cửu phú;Tân Tạo A;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
nguyễn cửu phú;Tân Túc;Thị trấn;Bình Chánh;Huyện;Hồ Chí Minh;City;;;;
nguyễn cửu vân;Phường 17;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
nguyễn cửu đàm;Tân Sơn Nhì;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
nguyễn du;Bến Nghé;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn du;Bến Thành;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn du;Bến Nghé;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn duy;Phường 3;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
nguyễn duy trinh;Bình Trưng Tây;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
nguyễn dữ;Tân Quý;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
nguyễn gia thiều;Phường 6;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
nguyễn gia trí;Phường 25;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
nguyễn giao;Củ Chi;Thị trấn;Củ Chi;Huyện;Hồ Chí Minh;City;;;;
nguyễn giàn thanh;Phường 15;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
nguyễn hiến lê;Phường 13;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
nguyễn hiền;Phường 4;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
nguyễn hoàng;An Phú;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
nguyễn huy lượng;Phường 14;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
nguyễn huy tưởng;Phường 6;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
nguyễn huy tự;Đa Kao;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn huệ;Bến Nghé;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn háo vĩnh;Tân Quý;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
nguyễn hậu;Tân Thành;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
nguyễn hồng đào;Phường 14;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
nguyễn hới;An Lạc;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
nguyễn hứu tiển;Tây Thạnh;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
nguyễn hữu cảnh;Phường 19;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
nguyễn hữu cảnh;Phường 22;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
nguyễn hữu cảnh;Bến Nghé;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn hữu cầu;Trung Chánh;Xã;Hóc Môn;Huyện;Hồ Chí Minh;City;;;;
nguyễn hữu cầu;Tân Định;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn hữu dật;Tây Thạnh;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
nguyễn hữu hào;Phường 6;Phường;Quận 4;Quận;Hồ Chí Minh;City;;;;
nguyễn hữu thận;Phường 2;Phường;Quận 6;Quận;Hồ Chí Minh;City;;;;
nguyễn hữu thọ;Phước Kiển;Xã;Nhà Bè;Huyện;Hồ Chí Minh;City;;;;
nguyễn hữu thọ;Nhơn Đức;Xã;Nhà Bè;Huyện;Hồ Chí Minh;City;;;;
nguyễn hữu thọ;Phước Kiển;Xã;Nhà Bè;Huyện;Hồ Chí Minh;City;;;;
nguyễn hữu thọ;Nhơn Đức;Xã;Nhà Bè;Huyện;Hồ Chí Minh;City;;;;
nguyễn hữu thọ;Phước Kiển;Xã;Nhà Bè;Huyện;Hồ Chí Minh;City;;;;
nguyễn hữu thọ;Nhơn Đức;Xã;Nhà Bè;Huyện;Hồ Chí Minh;City;;;;
nguyễn hữu thọ;Phước Kiển;Xã;Nhà Bè;Huyện;Hồ Chí Minh;City;;;;
nguyễn hữu thọ;Tân Hưng;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
nguyễn hữu tiến;Tây Thạnh;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
nguyễn hữu trí;Tân Túc;Thị trấn;Bình Chánh;Huyện;Hồ Chí Minh;City;;;;
nguyễn khoa đăng;Thạnh Mỹ Lợi;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
nguyễn khoái;Phường 1;Phường;Quận 4;Quận;Hồ Chí Minh;City;;;;
nguyễn khuyến;Phường 12;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
nguyễn khuyến;Bình Thọ;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
nguyễn khắc nhu;Cô Giang;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn khắc nhu;Nguyễn Cư Trinh;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn khắc viện;Tân Phú;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
nguyễn kim;Phường 11;Phường;Quận 5;Quận;Hồ Chí Minh;City;;;;
nguyễn kim cương;Tân Thạnh Đông;Xã;Củ Chi;Huyện;Hồ Chí Minh;City;;;;
nguyễn kiệm;Phường 3;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
nguyễn kiệm;Phường 9;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
nguyễn kiệm;Phường 3;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
nguyễn kiệm;Phường 9;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
nguyễn lâm;Phường 3;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
nguyễn lâm;Phường 6;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
nguyễn lương bằng;Tân Tạo A;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
nguyễn lương bằng;Tân Phú;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
nguyễn lương bằng;Phú Mỹ;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
nguyễn lương bằng;Tân Phú;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
nguyễn lương bằng nối dài;Phú Mỹ;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
nguyễn lộ trạch;Tân Quý;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
nguyễn minh châu;Phú Trung;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
nguyễn mỹ ca;Hiệp Tân;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
nguyễn ngọc cung;Phường 16;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
nguyễn ngọc lộc;Phường 14;Phường;Quận 10;Quận;Hồ Chí Minh;City;;;;
nguyễn ngọc nhựt;Tân Quý;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
nguyễn ngọc phương;Phường 19;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
nguyễn nhược thị;Phường 15;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
nguyễn nhữ lãm;Phú Thọ Hòa;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
nguyễn oanh;Phường 7;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
nguyễn oanh;Phường 17;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
nguyễn phan chánh;Tân Phong;Phường;Quận 7;Quận;Hồ Chí Minh;City;;;;
nguyễn phi khanh;Tân Định;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn phú trú;Củ Chi;Thị trấn;Củ Chi;Huyện;Hồ Chí Minh;City;;;;
nguyễn phúc chu;Phường 15;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
nguyễn phúc nguyên;Phường 10;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
nguyễn phúc nguyên;Phường 9;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
nguyễn phạm tuân;Phường 9;Phường;Quận 6;Quận;Hồ Chí Minh;City;;;;
nguyễn quang bích;Phường 13;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
nguyễn quang diệu;Tân Quý;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
nguyễn quý anh;Tân Sơn Nhì;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
nguyễn quý yêm;An Lạc;Phường;Bình Tân;Quận;Hồ Chí Minh;City;;;;
nguyễn quý đức;An Phú;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
nguyễn siêu;Bến Nghé;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn suý;Tân Quý;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
nguyễn sĩ sách;Phường 15;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
nguyễn sơn hà;Phường 5;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
nguyễn sỹ sách;Phường 15;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
nguyễn thanh sơn;Thạnh Mỹ Lợi;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
nguyễn thanh tuyền;Phường 2;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
nguyễn thi;Phường 13;Phường;Quận 5;Quận;Hồ Chí Minh;City;;;;
nguyễn thiện thuật;Phường 14;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
nguyễn thiện thành;Thủ Thiêm;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
nguyễn thiện thành;An Lợi Đông;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
nguyễn thiện thành;Thủ Thiêm;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
nguyễn thiệp;Bến Nghé;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn thành ý;Đa Kao;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn thái bình;Nguyễn Thái Bình;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn thái bình;Phường 12;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
nguyễn thái bình;Phường 4;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
nguyễn thái học;Phường 1;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
nguyễn thái học;Phạm Ngũ Lão;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn thái học;Cầu Ông Lãnh;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn thái học;Phạm Ngũ Lão;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn thái học;Cầu Ông Lãnh;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn thái học;Phạm Ngũ Lão;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn thái học;Phường 6;Phường;Quận 4;Quận;Hồ Chí Minh;City;;;;
nguyễn thái học;Tân Thành;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
nguyễn thái sơn;Phường 3;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
nguyễn thái sơn;Phường 5;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
nguyễn thái sơn;Phường 7;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
nguyễn thái sơn;Phường 5;Phường;Gò Vấp;Quận;Hồ Chí Minh;City;;;;
nguyễn thông;Phường 9;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
nguyễn thượng hiền;Phường 5;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
nguyễn thượng hiền;Phường 5;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
nguyễn thượng hiền;Phường 5;Phường;Bình Thạnh;Quận;Hồ Chí Minh;City;;;;
nguyễn thượng hiền;Phường 5;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
nguyễn thượng hiền;Phạm Ngũ Lão;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn thế lộc;Phường 12;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
nguyễn thế truyện;Tân Sơn Nhì;Phường;Tân Phú;Quận;Hồ Chí Minh;City;;;;
nguyễn thị chì;An Nhơn Tây;Xã;Củ Chi;Huyện;Hồ Chí Minh;City;;;;
nguyễn thị căn;Tân Thới Hiệp;Phường;Quận 12;Quận;Hồ Chí Minh;City;;;;
nguyễn thị diệu;Phường 6;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
nguyễn thị diệu;Phường 5;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
nguyễn thị diệu hương;Phường 15;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
nguyễn thị huỳnh;Phường 11;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
nguyễn thị huỳnh;Phường 8;Phường;Phú Nhuận;Quận;Hồ Chí Minh;City;;;;
nguyễn thị kiêu;Thới An;Phường;Quận 12;Quận;Hồ Chí Minh;City;;;;
nguyễn thị kiểu;Hiệp Thành;Phường;Quận 12;Quận;Hồ Chí Minh;City;;;;
nguyễn thị kiệp;Trung Lập Hạ;Xã;Củ Chi;Huyện;Hồ Chí Minh;City;;;;
nguyễn thị lắm;Củ Chi;Thị trấn;Củ Chi;Huyện;Hồ Chí Minh;City;;;;
nguyễn thị lắng;Tân Phú Trung;Xã;Củ Chi;Huyện;Hồ Chí Minh;City;;;;
nguyễn thị lắng;Phước Vĩnh An;Xã;Củ Chi;Huyện;Hồ Chí Minh;City;;;;
nguyễn thị lừa;Tân An Hội;Xã;Củ Chi;Huyện;Hồ Chí Minh;City;;;;
nguyễn thị minh khai;Bến Nghé;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn thị minh khai;Bến Thành;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn thị minh khai;Phường 2;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
nguyễn thị minh khai;Phạm Ngũ Lão;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn thị minh khai;Phường 2;Phường;Quận 3;Quận;Hồ Chí Minh;City;;;;
nguyễn thị minh khai;Nguyễn Cư Trinh;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn thị minh khai;Phạm Ngũ Lão;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn thị mười;Phường 4;Phường;Quận 8;Quận;Hồ Chí Minh;City;;;;
nguyễn thị nghĩa;Bến Thành;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn thị nghĩa;Phạm Ngũ Lão;Phường;Quận 1;Quận;Hồ Chí Minh;City;;;;
nguyễn thị nhung;Hiệp Bình Phước;Phường;Thủ Đức;Thành phố;Hồ Chí Minh;City;;;;
nguyễn thị nhỏ;Phường 15;Phường;Quận 11;Quận;Hồ Chí Minh;City;;;;
nguyễn thị nhỏ;Phường 9;Phường;Tân Bình;Quận;Hồ Chí Minh;City;;;;
nguyễn thị rành;Nhuận Đức;Xã;Củ Chi;Huyện;Hồ Chí Minh;City;;;;
nguyễn thị rành;An Nhơn Tây;Xã;Củ Chi;Huyện;Hồ Chí Minh;City;;;;
nguyễn thị rành;Nhuận Đức;Xã;Củ Chi;Huyện;Hồ Chí Minh;City;;;;
nguyễn thị rành;Trung Lập Hạ;Xã;Củ Chi;Huyện;Hồ Chí Minh;City;;;;
